month,time_window,facility_type,facility,spaces,occupied
2023-01,Weekday afternoon,On-street,Zone 1,468,201
2023-01,Weekday afternoon,On-street,Zone 2,320,167
2023-01,Weekday afternoon,On-street,Zone 3,415,148
2023-01,Weekday afternoon,Ramps,Ramp 2,739,217
2023-01,Weekday afternoon,Ramps,Ramp 3,505,185
2023-01,Weekday afternoon,Surface lots,Lot 1,117,71
2023-01,Weekday afternoon,Surface lots,Lot 13,27,22
2023-01,Weekday afternoon,Surface lots,Lot 20,36,14
2023-01,Weekday afternoon,Surface lots,Lot 5,77,20
2023-01,Weekday afternoon,Surface lots,Lot 6,36,9
2023-01,Weekday afternoon,Surface lots,Lot 9,55,26
2023-01,Weekday evening,On-street,Zone 1,468,207
2023-01,Weekday evening,On-street,Zone 2,320,173
2023-01,Weekday evening,On-street,Zone 3,415,134
2023-01,Weekday evening,Ramps,Ramp 2,739,138
2023-01,Weekday evening,Ramps,Ramp 3,505,159
2023-01,Weekday evening,Surface lots,Lot 1,117,39
2023-01,Weekday evening,Surface lots,Lot 13,27,12
2023-01,Weekday evening,Surface lots,Lot 20,36,8
2023-01,Weekday evening,Surface lots,Lot 5,77,14
2023-01,Weekday evening,Surface lots,Lot 6,36,1
2023-01,Weekday evening,Surface lots,Lot 9,55,12
2023-01,Weekend evening,On-street,Zone 2,320,181
2023-01,Weekend evening,On-street,Zone 3,415,129
2023-01,Weekend evening,Ramps,Ramp 2,739,74
2023-01,Weekend evening,Ramps,Ramp 3,505,121
2023-01,Weekend evening,Surface lots,Lot 1,117,37
2023-01,Weekend evening,Surface lots,Lot 13,27,9
2023-01,Weekend evening,Surface lots,Lot 20,36,6
2023-01,Weekend evening,Surface lots,Lot 5,77,12
2023-01,Weekend evening,Surface lots,Lot 6,36,1
2023-01,Weekend evening,Surface lots,Lot 9,55,8
2023-02,Weekday afternoon,On-street,Zone 1,468,216
2023-02,Weekday afternoon,On-street,Zone 2,320,183
2023-02,Weekday afternoon,On-street,Zone 3,415,164
2023-02,Weekday afternoon,Ramps,Ramp 2,739,254
