month,segment,visits,people,visits_per_person,avg_dwell_minutes,panel_visits,visits_yoy
2023-01,employees,180953,13201,13.71,406,5593,0.566
2023-01,residents,93348,4131,22.6,817,1746,0.138
2023-01,visitors,638162,247148,2.58,228,20192,0.26
2023-02,employees,166744,12962,12.86,406,5349,0.413
2023-02,residents,75554,3905,19.35,767,1520,0.068
2023-02,visitors,623859,252040,2.48,227,20568,0.208
2023-03,employees,183956,12859,14.31,399,6009,0.386
2023-03,residents,83700,3760,22.26,800,1678,0.214
2023-03,visitors,682712,272785,2.5,222,22705,0.133
2023-04,employees,169756,12761,13.3,391,5742,0.301
2023-04,residents,94850,4225,22.45,752,1906,0.379
2023-04,visitors,705772,288975,2.44,212,24235,0.128
2023-05,employees,180364,12956,13.92,390,6160,0.293
2023-05,residents,97941,4363,22.45,694,1971,0.523
2023-05,visitors,659929,251584,2.62,202,22770,0.113
2023-06,employees,173308,13106,13.22,389,5926,0.21
2023-06,residents,89757,4157,21.59,725,1917,0.34
2023-06,visitors,702137,279114,2.52,210,24464,0.117
2023-07,employees,167943,12990,12.93,409,5667,0.26
2023-07,residents,86718,3707,23.39,746,1907,0.25
2023-07,visitors,687948,271721,2.53,223,23893,0.193
2023-08,employees,187094,13381,13.98,401,6527,0.157
2023-08,residents,92033,4121,22.33,709,1979,0.11
2023-08,visitors,705012,285516,2.47,209,25132,0.113
2023-09,employees,180975,13148,13.76,405,6481,0.068
2023-09,residents,96725,3987,24.26,750,2076,0.042
2023-09,visitors,678276,268720,2.52,215,25090,0.013
2023-10,employees,191641,13085,14.65,406,7182,0.152
2023-10,residents,91422,3753,24.36,775,2110,0.085
2023-10,visitors,713144,282739,2.52,220,27784,0.023
2023-11,employees,179401,13169,13.62,404,6870,0.171
2023-11,residents,84703,3780,22.41,791,2027,0.091
2023-11,visitors,674933,281096,2.4,213,26770,0.074
2023-12,employees,169365,13490,12.56,400,6450,0.126
2023-12,residents,88723,3924,22.61,772,2084,0.176
2023-12,visitors,675507,285694,2.36,202,26832,0.115
2024-01,employees,185427,13418,13.82,424,7300,0.025
2024-01,residents,111121,4494,24.72,859,2550,0.19
2024-01,visitors,586988,232625,2.52,227,23825,-0.08
2024-02,employees,190007,13665,13.9,417,7698,0.14
2024-02,residents,102279,4171,24.52,806,2552,0.354
2024-02,visitors,670458,273550,2.45,215,28009,0.075
2024-03,employees,186574,13618,13.7,,7681,0.014
2024-03,residents,97931,4185,23.4,790,2453,0.17
2024-03,visitors,678864,292616,2.32,211,28450,-0.006
2024-04,employees,196310,13813,14.21,403,8283,0.156
