month,corridor,direction,vehicles_per_day
2023-01,Amvets Memorial Highway,incoming,7054
2023-01,Amvets Memorial Highway,outgoing,6616
2023-01,Bus US-131,incoming,4788
2023-01,Bus US-131,outgoing,4482
2023-01,Gull Road,incoming,7527
2023-01,Gull Road,outgoing,7295
2023-01,Oakland Drive,incoming,6510
2023-01,Oakland Drive,outgoing,6212
2023-01,Portage Street,incoming,5095
2023-01,Portage Street,outgoing,5353
2023-01,South Westnedge Avenue,incoming,9246
2023-01,South Westnedge Avenue,outgoing,9836
2023-01,Stadium Drive,incoming,11669
2023-01,Stadium Drive,outgoing,12263
2023-01,West Main Street,incoming,12800
2023-01,West Main Street,outgoing,12877
2023-01,West Michigan Avenue,incoming,9235
2023-01,West Michigan Avenue,outgoing,8590
2023-02,Amvets Memorial Highway,incoming,7463
2023-02,Amvets Memorial Highway,outgoing,7234
2023-02,Bus US-131,incoming,4967
2023-02,Bus US-131,outgoing,4765
2023-02,Gull Road,incoming,8195
2023-02,Gull Road,outgoing,7947
2023-02,Oakland Drive,incoming,6670
2023-02,Oakland Drive,outgoing,6568
2023-02,Portage Street,incoming,5448
2023-02,Portage Street,outgoing,5665
2023-02,South Westnedge Avenue,incoming,9653
2023-02,South Westnedge Avenue,outgoing,10522
2023-02,Stadium Drive,incoming,12287
2023-02,Stadium Drive,outgoing,13040
2023-02,West Main Street,incoming,13277
2023-02,West Main Street,outgoing,13510
2023-02,West Michigan Avenue,incoming,10124
2023-02,West Michigan Avenue,outgoing,9393
2023-03,Amvets Memorial Highway,incoming,7669
2023-03,Amvets Memorial Highway,outgoing,7389
2023-03,Bus US-131,incoming,5104
2023-03,Bus US-131,outgoing,4850
2023-03,Gull Road,incoming,8106
2023-03,Gull Road,outgoing,7868
2023-03,Oakland Drive,incoming,6607
2023-03,Oakland Drive,outgoing,6418
2023-03,Portage Street,incoming,5615
2023-03,Portage Street,outgoing,5661
2023-03,South Westnedge Avenue,incoming,9523
2023-03,South Westnedge Avenue,outgoing,10283
2023-03,Stadium Drive,incoming,12285
2023-03,Stadium Drive,outgoing,13001
2023-03,West Main Street,incoming,13252
2023-03,West Main Street,outgoing,13532
2023-03,West Michigan Avenue,incoming,9809
2023-03,West Michigan Avenue,outgoing,9223
2023-04,Amvets Memorial Highway,incoming,7719
2023-04,Amvets Memorial Highway,outgoing,7376
2023-04,Bus US-131,incoming,5231
2023-04,Bus US-131,outgoing,4992
2023-04,Gull Road,incoming,8363
2023-04,Gull Road,outgoing,8101
2023-04,Oakland Drive,incoming,6896
2023-04,Oakland Drive,outgoing,6733
2023-04,Portage Street,incoming,5775
2023-04,Portage Street,outgoing,5705
2023-04,South Westnedge Avenue,incoming,9772
