month,stop_id,stop_name,boardings,alightings
2023-01,1,Rose at Water (NW Corner),2848,2538
2023-01,2,Rose at Michigan (SW side),213,73
2023-01,3,Rose at South (SW Corner),161,240
2023-01,4,Lovell at St. Johns (NE Corner),23,19
2023-01,5,Westnedge at Lovell (SW side),185,75
2023-01,6,Westnedge at Walnut (NW corner),118,102
2023-01,7,Westnedge at Vine (NW Corner),576,516
2023-01,51,Park at W. Vine (SE Corner),407,412
2023-01,52,Park at 519 Walnut,153,234
2023-01,53,Park at Lovell (SE Corner),27,124
2023-01,54,Park at South (NE Corner),50,405
2023-01,96,Portage at Walnut (SE Corner),81,169
2023-01,137,Kalamazoo & Park Street,95,78
2023-01,182,Michigan &,69,258
2023-01,184,Rose & Water,99,462
2023-01,210,Burdick & North,33,57
2023-01,260,North & N. Park,44,173
2023-01,261,North & Westnedge,50,167
2023-01,262,North & Simpson,25,72
2023-01,263,North & Woodward,7,87
2023-01,264,North St & Hawley street,36,267
2023-01,295,North & Stewart/Hawley,254,52
2023-01,296,North & Woodward,52,20
2023-01,297,North & Simpson,54,40
2023-01,298,North & Westnedge,85,94
2023-01,299,Ransom & Church,47,158
2023-01,300,Ransom & N. Rose,4,9
2023-01,515,Rose & Vine,1,4
2023-01,516,Rose & Walnut,4,0
2023-01,517,Rose & South,75,119
2023-01,518,Walnut & Burdick,212,479
2023-01,562,Walnut & Burdick,397,154
2023-01,563,Kalamazoo & Greenwich,34,26
2023-01,564,Kalamazoo & Elm,90,141
2023-01,565,Kalamazoo & Stuart,122,163
2023-01,605,W. Main & Catherine,69,97
2023-01,606,W. Main & RR Tracks,53,103
2023-01,607,North & Park,6,36
2023-01,628,Lovell & Westnedge,115,55
2023-01,629,Lovell & Oak,101,209
2023-01,630,Lovell & Davis,112,109
2023-01,640,South & Oak,221,140
2023-01,641,South & Westnedge,6,56
2023-01,776,Portage at South (NW Corner),40,14
2023-01,785,Oakland & Academy,49,58
2023-01,788,Ransom & N. Park,777,943
2023-01,799,Rose & Walnut,4,7
2023-01,1004,Kalamazoo Transit Center,46827,44145
2023-01,1011,Kalamazoo Transit Center,2931,2719
2023-01,1062,E. Michigan & S. Pitcher,73,43
2023-01,1067,W. Michigan & Academy,109,125
2023-01,1079,Rose St & Butler,2,77
2023-01,1082,S Rose St & Vine,10,15
2023-01,1084,Lovell & S. Burdick,7,31
2023-02,1,Rose at Water (NW Corner),2700,2480
2023-02,2,Rose at Michigan (SW side),229,140
2023-02,3,Rose at South (SW Corner),152,215
2023-02,4,Lovell at St. Johns (NE Corner),16,24
2023-02,5,Westnedge at Lovell (SW side),188,84
2023-02,6,Westnedge at Walnut (NW corner),100,94
2023-02,7,Westnedge at Vine (NW Corner),485,463
2023-02,51,Park at W. Vine (SE Corner),428,382
2023-02,52,Park at 519 Walnut,108,181
2023-02,53,Park at Lovell (SE Corner),23,112
2023-02,54,Park at South (NE Corner),66,415
2023-02,96,Portage at Walnut (SE Corner),88,173
2023-02,137,Kalamazoo & Park Street,52,79
2023-02,182,Michigan &,61,247
2023-02,184,Rose & Water,58,462
2023-02,210,Burdick & North,26,39
2023-02,260,North & N. Park,33,140
2023-02,261,North & Westnedge,42,156
2023-02,262,North & Simpson,24,59
2023-02,263,North & Woodward,10,91
2023-02,264,North St & Hawley street,29,239
2023-02,295,North & Stewart/Hawley,231,33
2023-02,296,North & Woodward,52,30
2023-02,297,North & Simpson,35,14
2023-02,298,North & Westnedge,73,102
2023-02,299,Ransom & Church,73,156
2023-02,300,Ransom & N. Rose,1,11
2023-02,515,Rose & Vine,10,8
2023-02,516,Rose & Walnut,2,2
2023-02,517,Rose & South,93,124
2023-02,518,Walnut & Burdick,199,483
2023-02,562,Walnut & Burdick,398,136
2023-02,563,Kalamazoo & Greenwich,40,23
2023-02,564,Kalamazoo & Elm,75,106
2023-02,565,Kalamazoo & Stuart,123,127
2023-02,605,W. Main & Catherine,38,61
2023-02,606,W. Main & RR Tracks,64,98
2023-02,607,North & Park,13,29
2023-02,628,Lovell & Westnedge,126,48
2023-02,629,Lovell & Oak,82,193
2023-02,630,Lovell & Davis,97,92
2023-02,640,South & Oak,193,122
2023-02,641,South & Westnedge,5,73
2023-02,776,Portage at South (NW Corner),43,9
2023-02,785,Oakland & Academy,39,56
2023-02,788,Ransom & N. Park,840,947
2023-02,799,Rose & Walnut,0,5
2023-02,1004,Kalamazoo Transit Center,45107,41733
